BorrowerFirstName,BorrowerLastName,BorrowerBirthDate,BorrowerSSN,ZipCode,BorrowerCreditScore,BorrowerYearlyIncome,LoanAmount,LoanStartDate,LoanDuration,loanToValue,ReportisApproved,ReportisValidData,ReportisInsuranceRequired,ReportgetMonthlyRepayment,ReportgetInsuranceRate,ReportgetMessages
William,Larsen,1931-01-25T08:00:00Z,471-78-1234,12345,534,259263,1062575,2019-09-12T22:00:00Z,2,1.2620917141148529,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Rachel,Trevino,1955-06-23T07:00:00Z,471-78-1234,12345,786,9329,31325,2019-07-01T22:00:00Z,1,1.6611588047521768,False,True,False,2926.636601089793,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 3.76; We are sorry. Your loan has not been approved]
Lisa,Hill,1961-04-03T08:00:00Z,471-78-1234,12345,332,120151,1251728,2018-04-05T22:00:00Z,3,1.7077387348372095,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
John,Gross,1912-01-07T08:00:00Z,471-78-1234,12345,706,27583,1373953,2017-05-25T22:00:00Z,2,1.000293721332396,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Luke,Hill,2002-12-04T08:00:00Z,471-78-1234,12345,603,37665,979741,2018-07-07T22:00:00Z,2,1.799644218883665,False,True,False,60038.12298078871,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 19.13; We are sorry. Your loan has not been approved]
Michael,White,2013-10-10T07:00:00Z,471-78-1234,12345,462,285379,533058,2018-06-21T22:00:00Z,1,1.240602471623733,False,True,False,68013.87183568445,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 2.86; We are sorry. Your loan has not been approved]
Natalie,Matthews,1968-04-03T08:00:00Z,471-78-1234,12345,593,283521,208415,2019-01-20T23:00:00Z,2,1.4833728394317776,False,True,False,9980.727091069895,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 0.42; We are sorry. Your loan has not been approved]
Victoria,Cook,2007-02-20T08:00:00Z,471-78-1234,12345,439,58088,102604,2020-12-03T23:00:00Z,1,1.5343030176006407,False,True,False,9586.10125517054,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 1.98; We are sorry. Your loan has not been approved]
Hannah,Black,2015-02-07T08:00:00Z,471-78-1234,12345,687,382654,266743,2020-05-18T22:00:00Z,2,1.2165458084940317,False,True,False,12773.98021473146,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 0.40; We are sorry. Your loan has not been approved]
Jillian,Flores,1966-04-23T08:00:00Z,471-78-1234,12345,820,177650,1192327,2020-10-30T23:00:00Z,2,1.8659190345782528,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Laurie,Holmes,1965-07-31T07:00:00Z,471-78-1234,12345,635,131553,347364,2021-12-08T23:00:00Z,1,1.7657264377909012,False,True,False,32453.57370473919,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 2.96; We are sorry. Your loan has not been approved]
Stacey,Liu,1979-11-29T08:00:00Z,471-78-1234,12345,584,229443,586703,2021-04-04T22:00:00Z,1,1.116529907946046,False,True,False,589392.0554166556,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 30.83; We are sorry. Your loan has not been approved]
Marissa,Mcdaniel,1994-05-20T07:00:00Z,471-78-1234,12345,538,340451,254329,2020-01-12T23:00:00Z,3,1.4628393527777297,False,True,False,10790.395740287617,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 0.38; We are sorry. Your loan has not been approved]
Richard,Whitaker,1938-11-08T08:00:00Z,471-78-1234,12345,349,119094,1054653,2018-05-18T22:00:00Z,1,1.968413691203822,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Lori,Craig,1917-03-05T08:00:00Z,471-78-1234,12345,778,16552,794756,2019-10-14T22:00:00Z,2,1.7453420627354184,False,True,False,63114.43149001492,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 45.76; We are sorry. Your loan has not been approved]
Matthew,Robbins,1971-12-15T08:00:00Z,471-78-1234,12345,400,376417,890044,2020-03-26T23:00:00Z,1,1.5993021249534165,False,True,False,129490.8699406131,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 4.13; We are sorry. Your loan has not been approved]
Jacqueline,Nelson,1920-11-07T08:00:00Z,471-78-1234,12345,535,5488,1081952,2018-12-23T23:00:00Z,1,1.0543677574730026,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Terri,Matthews,1909-02-20T08:00:00Z,471-78-1234,12345,737,63686,1138081,2018-01-01T23:00:00Z,1,1.3654659112540193,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Nicholas,Oneill,2000-11-13T08:00:00Z,471-78-1234,12345,697,8191,1392588,2017-05-20T22:00:00Z,2,1.4150581453108129,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Melissa,Allen,1969-07-21T07:00:00Z,471-78-1234,12345,769,55404,337651,2017-07-04T22:00:00Z,2,1.9228496633694925,False,True,False,15501.44031127952,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 3.36; We are sorry. Your loan has not been approved]
Jennifer,Martinez,1935-08-17T08:00:00Z,471-78-1234,12345,617,390366,1095491,2020-06-10T22:00:00Z,3,1.273304808011526,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Rebecca,Hicks,2003-06-08T07:00:00Z,471-78-1234,12345,843,356775,984713,2017-01-26T23:00:00Z,2,1.4854745539521996,False,True,False,47156.6428329473,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 1.59; We are sorry. Your loan has not been approved]
Christopher,Willis,1993-06-03T07:00:00Z,471-78-1234,12345,305,301755,1044640,2019-09-24T22:00:00Z,3,1.4131181928016163,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Leonard,Williams,1917-03-20T08:00:00Z,471-78-1234,12345,755,228057,1296801,2017-01-13T23:00:00Z,3,1.1703280593399992,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Cole,Ellis,1937-05-25T08:00:00Z,471-78-1234,12345,549,122377,703952,2018-04-13T22:00:00Z,1,1.0288425606883096,False,True,False,178009.13979399053,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 17.46; We are sorry. Your loan has not been approved]
Elizabeth,Snow,2005-11-18T08:00:00Z,471-78-1234,12345,444,381991,233721,2020-08-24T22:00:00Z,3,1.6279591582870476,False,True,False,9556.075582302909,0.0,[ The loan amount is under the maximum authorized; Risky loan; We are sorry. Your loan has not been approved]
Bradley,Gonzales,1975-04-21T07:00:00Z,471-78-1234,12345,706,352938,146414,2021-02-24T23:00:00Z,1,1.276436122973266,False,True,False,29686.665962366467,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 1.01; We are sorry. Your loan has not been approved]
Michelle,Smith,2015-08-31T07:00:00Z,471-78-1234,12345,505,221480,604527,2021-02-23T23:00:00Z,1,1.4079977793080236,False,True,False,152867.42739880236,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 8.28; We are sorry. Your loan has not been approved]
Renee,Jimenez,1916-04-07T08:00:00Z,471-78-1234,12345,689,366587,945163,2021-12-17T23:00:00Z,1,1.8780347522233187,False,True,False,475832.97401120415,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 15.58; We are sorry. Your loan has not been approved]
Ruth,Crosby,1937-05-25T08:00:00Z,471-78-1234,12345,840,384724,1465841,2019-08-09T22:00:00Z,2,1.7588175180581036,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Marilyn,Bentley,1909-09-17T08:00:00Z,471-78-1234,12345,575,139214,349072,2019-01-03T23:00:00Z,1,1.604017985509425,False,True,False,117425.56803491812,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 10.12; We are sorry. Your loan has not been approved]
David,Lutz,1973-12-31T08:00:00Z,471-78-1234,12345,313,164981,1391610,2017-12-01T23:00:00Z,1,1.810559919739397,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Juan,Fitzpatrick,1921-03-15T08:00:00Z,471-78-1234,12345,775,175481,510442,2020-01-27T23:00:00Z,2,1.7067965927932631,False,True,False,35290.526204624635,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 2.41; We are sorry. Your loan has not been approved]
Jessica,Fisher,1972-07-23T07:00:00Z,471-78-1234,12345,394,272156,69361,2020-10-06T22:00:00Z,1,1.3407395342206812,False,True,False,7112.146808953683,0.0,[ The loan amount is under the maximum authorized; Risky loan; We are sorry. Your loan has not been approved]
Daniel,Davis,1940-03-03T08:00:00Z,471-78-1234,12345,317,147758,907350,2021-08-27T22:00:00Z,1,1.6305396906651413,False,True,False,115770.49141014351,0.0,[ The loan amount is under the maximum authorized; Very risky loan; Too big Debt/Income ratio: 9.40; We are sorry. Your loan has not been approved]
Christina,Williams,1905-04-17T08:00:00Z,471-78-1234,12345,539,303393,1053053,2019-01-03T23:00:00Z,1,1.5716481655210213,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Brian,Smith,1936-04-21T08:00:00Z,471-78-1234,12345,315,65173,978259,2017-08-02T22:00:00Z,1,1.5710608158736812,False,True,False,142325.10857579426,0.0,[ The loan amount is under the maximum authorized; Very risky loan; Too big Debt/Income ratio: 26.21; We are sorry. Your loan has not been approved]
Mackenzie,Campbell,1975-08-17T07:00:00Z,471-78-1234,12345,674,389865,877583,2020-10-23T22:00:00Z,1,1.6987772178703078,False,True,False,99757.4327816268,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 3.07; We are sorry. Your loan has not been approved]
Brittany,White,1926-01-20T08:00:00Z,471-78-1234,12345,543,289941,1361454,2020-10-11T22:00:00Z,3,1.710081274127082,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Dustin,Mendez,1911-12-23T08:00:00Z,471-78-1234,12345,437,186952,1115039,2017-11-30T23:00:00Z,2,1.0994769548780687,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Kayla,Mathews,1976-10-16T07:00:00Z,471-78-1234,12345,307,18178,6876,2020-08-24T22:00:00Z,2,1.1980898433302871,True,True,True,421.3584341330037,0.02,[ The loan amount is under the maximum authorized; Low risk loan; Congratulations! Your loan has been approved]
Timothy,Parker,1947-10-20T08:00:00Z,471-78-1234,12345,384,74983,827774,2017-12-07T23:00:00Z,1,1.4210710897358492,False,True,False,209320.1492201609,0.0,[ The loan amount is under the maximum authorized; Very risky loan; Too big Debt/Income ratio: 33.50; We are sorry. Your loan has not been approved]
Dana,Weiss,1932-05-17T08:00:00Z,471-78-1234,12345,633,342378,802950,2021-10-20T22:00:00Z,2,1.2100172286942548,False,True,False,55513.70775916431,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 1.95; We are sorry. Your loan has not been approved]
Leah,Mcdonald,2004-09-25T07:00:00Z,471-78-1234,12345,584,337743,748374,2017-02-11T23:00:00Z,1,1.997645962568772,False,True,False,76736.86590452709,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 2.73; We are sorry. Your loan has not been approved]
Monica,Garcia,1979-04-10T08:00:00Z,471-78-1234,12345,504,112742,235972,2019-11-27T23:00:00Z,2,1.6479443861345522,False,True,False,10833.392683964365,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 1.15; We are sorry. Your loan has not been approved]
Ronnie,Jones,1965-01-12T08:00:00Z,471-78-1234,12345,441,185921,1391604,2020-07-16T22:00:00Z,1,1.2947326558063494,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Michelle,Hampton,1958-07-12T07:00:00Z,471-78-1234,12345,415,114546,474631,2020-11-26T23:00:00Z,1,1.3150631337472207,False,True,False,53952.69744124066,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 5.65; We are sorry. Your loan has not been approved]
Rachel,Owens,1918-03-02T08:00:00Z,471-78-1234,12345,376,192700,178413,2017-03-02T23:00:00Z,2,1.331100804499251,False,True,False,13186.193366244834,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 0.82; We are sorry. Your loan has not been approved]
Desiree,Lozano,1918-07-03T07:00:00Z,471-78-1234,12345,752,378740,147258,2018-09-16T22:00:00Z,1,1.635108085822743,False,True,False,37237.29729837184,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 1.18; We are sorry. Your loan has not been approved]
Mark,Gilbert,1948-07-12T07:00:00Z,471-78-1234,12345,696,208656,527064,2018-01-08T23:00:00Z,3,1.276883279466554,False,True,False,20798.293945062094,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 1.20; We are sorry. Your loan has not been approved]
Kristen,Noble,1904-12-15T08:00:00Z,471-78-1234,12345,825,342959,1454367,2021-01-25T23:00:00Z,3,1.2414785154505714,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Paula,Valenzuela,1976-03-03T08:00:00Z,471-78-1234,12345,766,123179,1241477,2017-07-08T22:00:00Z,1,1.6772498818019883,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Brenda,Morris,1942-12-21T07:00:00Z,471-78-1234,12345,643,80136,634070,2017-09-30T22:00:00Z,1,1.0102686809861576,False,True,False,128563.00822843245,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 19.25; We are sorry. Your loan has not been approved]
Craig,Maldonado,2009-09-03T07:00:00Z,471-78-1234,12345,654,139580,901868,2017-07-09T22:00:00Z,2,1.0008492787777614,False,True,False,71620.58052916464,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 6.16; We are sorry. Your loan has not been approved]
Adam,Coleman,1972-07-25T07:00:00Z,471-78-1234,12345,541,111909,1172947,2020-12-25T23:00:00Z,2,1.3614260196450552,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Kathleen,Mullins,1921-06-03T08:00:00Z,471-78-1234,12345,428,131087,1337742,2017-10-16T22:00:00Z,2,1.4622376996540911,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Jonathan,Hernandez,1906-06-02T08:00:00Z,471-78-1234,12345,473,224001,1029949,2020-09-12T22:00:00Z,2,1.902255095295532,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
William,Smith,2016-10-02T07:00:00Z,471-78-1234,12345,627,144912,638344,2020-04-16T22:00:00Z,1,1.31751319674994,False,True,False,214734.80199409227,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 17.78; We are sorry. Your loan has not been approved]
Melanie,Navarro,1987-05-30T07:00:00Z,471-78-1234,12345,391,200768,15900,2020-10-07T22:00:00Z,1,1.7374867856706473,True,True,True,1485.507484671276,0.02,[ The loan amount is under the maximum authorized; Low risk loan; Congratulations! Your loan has been approved]
Sharon,Gutierrez,2007-04-06T07:00:00Z,471-78-1234,12345,460,221574,1030624,2017-03-13T23:00:00Z,3,1.0823742361522308,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Robert,Smith,2005-09-27T07:00:00Z,471-78-1234,12345,517,296098,346203,2021-10-30T22:00:00Z,1,1.0201310505566443,False,True,False,29716.95232930086,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 1.20; We are sorry. Your loan has not been approved]
Mary,Avila,1995-10-31T08:00:00Z,471-78-1234,12345,846,196671,329807,2019-01-26T23:00:00Z,2,1.3718213563638175,False,True,False,16508.96121549798,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 1.01; We are sorry. Your loan has not been approved]
Savannah,Ramirez,1993-11-10T08:00:00Z,471-78-1234,12345,439,157853,759297,2017-01-21T23:00:00Z,1,1.5673320583734631,False,True,False,382260.5726925253,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 29.06; We are sorry. Your loan has not been approved]
Michele,Elliott,1942-11-02T07:00:00Z,471-78-1234,12345,305,252286,542643,2017-09-02T22:00:00Z,1,1.3107206518169123,False,True,False,69236.8399958941,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 3.29; We are sorry. Your loan has not been approved]
Erika,Johnson,1958-03-13T08:00:00Z,471-78-1234,12345,524,223030,1468462,2019-11-16T23:00:00Z,3,1.6154447503116982,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Jonathan,Watson,1972-07-24T07:00:00Z,471-78-1234,12345,451,285214,78413,2018-04-20T22:00:00Z,3,1.7144477226946866,True,True,True,2893.7552343383813,0.02,[ The loan amount is under the maximum authorized; Average risk loan; Congratulations! Your loan has been approved]
Jeffrey,Scott,2005-04-26T07:00:00Z,471-78-1234,12345,449,100852,89548,2017-06-26T22:00:00Z,1,1.0385510606482602,False,True,False,11425.597580642014,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 1.36; We are sorry. Your loan has not been approved]
Theresa,West,1953-07-14T07:00:00Z,471-78-1234,12345,570,259191,897771,2018-05-05T22:00:00Z,3,1.488831213066205,False,True,False,35426.63728380679,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 1.64; We are sorry. Your loan has not been approved]
Victor,Pacheco,2017-08-25T07:00:00Z,471-78-1234,12345,811,160944,1062201,2017-05-15T22:00:00Z,2,1.604635013966102,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Keith,Garcia,1938-07-23T08:00:00Z,471-78-1234,12345,497,208333,804503,2021-02-27T23:00:00Z,2,1.9486139901815385,False,True,False,35475.08766618902,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 2.04; We are sorry. Your loan has not been approved]
Eric,Miller,1962-12-26T08:00:00Z,471-78-1234,12345,712,243816,1457171,2018-09-07T22:00:00Z,2,1.0936351488682656,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Sarah,Reyes,1959-09-06T07:00:00Z,471-78-1234,12345,367,258948,1460269,2017-08-10T22:00:00Z,2,1.0036515712199567,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Jamie,Young,1923-07-26T08:00:00Z,471-78-1234,12345,831,310806,437267,2020-05-13T22:00:00Z,3,1.351593332449414,False,True,False,17254.844949523147,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 0.67; We are sorry. Your loan has not been approved]
Shawn,Morton,1981-07-27T07:00:00Z,471-78-1234,12345,776,336921,77428,2018-06-20T22:00:00Z,3,1.4120657981839784,True,True,True,2952.842685742287,0.02,[ The loan amount is under the maximum authorized; Low risk loan; Congratulations! Your loan has been approved]
Kathleen,Allen,1913-07-26T08:00:00Z,471-78-1234,12345,769,350707,514557,2019-06-14T22:00:00Z,1,1.6051182139494322,False,True,False,259048.6377569617,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 8.86; We are sorry. Your loan has not been approved]
Teresa,York,2018-12-26T08:00:00Z,471-78-1234,12345,437,127861,620000,2019-11-12T23:00:00Z,1,1.5495730617583767,False,False,False,0.0,0.0,[The borrower's age is not valid.;  The loan amount is under the maximum authorized]
Taylor,Cardenas,1932-07-25T08:00:00Z,471-78-1234,12345,451,160231,621374,2017-04-02T22:00:00Z,2,1.6103825830179377,False,True,False,49345.54347834622,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 3.70; We are sorry. Your loan has not been approved]
Monica,Ford,1931-07-31T08:00:00Z,471-78-1234,12345,661,357191,1217859,2017-05-04T22:00:00Z,3,1.394205395201888,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Jessica,Mcguire,1922-02-03T08:00:00Z,471-78-1234,12345,691,115520,887711,2018-05-08T22:00:00Z,1,1.4608732162904086,False,True,False,91024.22046860748,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 9.46; We are sorry. Your loan has not been approved]
Joshua,Murphy,1964-04-01T08:00:00Z,471-78-1234,12345,810,157375,374234,2021-01-09T23:00:00Z,3,1.6756435379250372,False,True,False,13380.254513275877,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 1.02; We are sorry. Your loan has not been approved]
Dean,Reed,1901-04-17T08:00:00Z,471-78-1234,12345,343,151884,392591,2020-10-14T22:00:00Z,3,1.128111635789164,False,True,False,14036.58539742912,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 1.11; We are sorry. Your loan has not been approved]
Diana,Rivera,2014-05-26T07:00:00Z,471-78-1234,12345,378,189465,421583,2018-11-04T23:00:00Z,3,1.388380461185189,False,True,False,16635.943938954497,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 1.05; We are sorry. Your loan has not been approved]
Carlos,Young,1972-04-29T08:00:00Z,471-78-1234,12345,797,268953,1031977,2020-01-06T23:00:00Z,2,1.059565174963192,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Ronald,Hardy,1959-11-10T08:00:00Z,471-78-1234,12345,390,86152,555938,2020-02-28T23:00:00Z,2,1.1179342543865605,False,True,False,34067.650546107296,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 4.75; We are sorry. Your loan has not been approved]
Eric,Liu,1972-09-23T07:00:00Z,471-78-1234,12345,686,378432,1020813,2020-12-08T23:00:00Z,1,1.4079664257027666,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Dana,Harrison,1945-09-05T07:00:00Z,471-78-1234,12345,774,83523,654780,2021-06-08T22:00:00Z,2,1.879329095384295,False,True,False,30060.722719670917,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 4.32; We are sorry. Your loan has not been approved]
